file,line,kind,text,suggestedNamespace
"app/become-a-coach/page.tsx","55","jsx","Certified fitness professional or equivalent experience","common"
"app/become-a-coach/page.tsx","59","jsx","Ability to create structured, progressive training programs","common"
"app/become-a-coach/page.tsx","63","jsx","Commitment to quality and safety standards","common"
"app/become-a-coach/page.tsx","71","jsx","Contact Us to Apply","common"
"app/become-a-coach/page.tsx","74","jsx","Back to Home","common"
"app/blog/bands-only-hiit-30min/page.tsx","84","attr","Athletes demonstrating perfect form with resistance bands","common"
"app/blog/bands-only-hiit-30min/page.tsx","50","jsx","Back to Blog","common"
"app/blog/bands-only-hiit-30min/page.tsx","55","jsx","Bands-only","common"
"app/blog/bands-only-hiit-30min/page.tsx","56","jsx","HIIT","common"
"app/blog/bands-only-hiit-30min/page.tsx","56","jsx","— 30-min low-impact fat burn (Home)","common"
"app/blog/bands-only-hiit-30min/page.tsx","63","jsx","30–35 min","common"
"app/blog/bands-only-hiit-30min/page.tsx","67","jsx","Beginners–Intermediate","common"
"app/blog/bands-only-hiit-30min/page.tsx","71","jsx","Home Setup","common"
"app/blog/bands-only-hiit-30min/page.tsx","75","jsx","Joint-friendly","common"
"app/blog/bands-only-hiit-30min/page.tsx","93","jsx","Who it&apos;s for","common"
"app/blog/bands-only-hiit-30min/page.tsx","95","jsx","Beginners&ndash;intermediate level","common"
"app/blog/bands-only-hiit-30min/page.tsx","96","jsx","Home setup training","common"
"app/blog/bands-only-hiit-30min/page.tsx","97","jsx","Joint-friendly cardio/strength","common"
"app/blog/bands-only-hiit-30min/page.tsx","98","jsx","Low-impact fat burn","common"
"app/blog/bands-only-hiit-30min/page.tsx","103","jsx","Equipment needed","common"
"app/blog/bands-only-hiit-30min/page.tsx","105","jsx","Long resistance band","common"
"app/blog/bands-only-hiit-30min/page.tsx","106","jsx","Mini-band","common"
"app/blog/bands-only-hiit-30min/page.tsx","107","jsx","Light dumbbells (optional)","common"
"app/blog/bands-only-hiit-30min/page.tsx","114","jsx","Session (≈30–35 min)","common"
"app/blog/bands-only-hiit-30min/page.tsx","119","jsx","Warm-up (5–6 min)","common"
"app/blog/bands-only-hiit-30min/page.tsx","120","jsx","Cat–camel ×6, Hip hinge drill ×8, Ankle rocks ×8/side, Shoulder circles ×10.","common"
"app/blog/bands-only-hiit-30min/page.tsx","125","jsx","Main (22–24 min)","common"
"app/blog/bands-only-hiit-30min/page.tsx","126","jsx","Circuit ×3 rounds (work 40 s / rest 20 s):","common"
"app/blog/bands-only-hiit-30min/page.tsx","130","jsx","Banded Good Morning — hip hinge focus (hamstrings/glutes)","common"
"app/blog/bands-only-hiit-30min/page.tsx","134","jsx","Mini-band Lateral Walk — pelvis level, toes forward","common"
"app/blog/bands-only-hiit-30min/page.tsx","138","jsx","Banded Chest Press (standing) — staggered stance, ribs down","common"
"app/blog/bands-only-hiit-30min/page.tsx","142","jsx","Banded Row (anchored) — elbows low-to-mid, squeeze back","common"
"app/blog/bands-only-hiit-30min/page.tsx","146","jsx","DB Goblet Hold March — core brace, slow steps","common"
"app/blog/bands-only-hiit-30min/page.tsx","153","jsx","Finisher (3 min)","common"
"app/blog/bands-only-hiit-30min/page.tsx","154","jsx","Shadow boxing: 3×40 s on / 20 s off (low impact).","common"
"app/blog/bands-only-hiit-30min/page.tsx","159","jsx","Cool-down (4–5 min)","common"
"app/blog/bands-only-hiit-30min/page.tsx","160","jsx","Couch stretch 45 s/side, Hamstring stretch 45 s/side, Box breathing 1 min.","common"
"app/blog/bands-only-hiit-30min/page.tsx","167","jsx","Progression","common"
"app/blog/bands-only-hiit-30min/page.tsx","168","jsx","Add 1 round or increase tension by 10–15%.","common"
"app/blog/bands-only-hiit-30min/page.tsx","178","jsx","← Previous: Knee-safe lower body session #1","common"
"app/blog/bands-only-hiit-30min/page.tsx","184","jsx","Back to Blog","common"
"app/blog/glute-power-without-knee-pain/page.tsx","84","attr","Powerful glute thrust exercise demonstration","common"
"app/blog/glute-power-without-knee-pain/page.tsx","50","jsx","Back to Blog","common"
"app/blog/glute-power-without-knee-pain/page.tsx","55","jsx","Glute","common"
"app/blog/glute-power-without-knee-pain/page.tsx","56","jsx","Power","common"
"app/blog/glute-power-without-knee-pain/page.tsx","56","jsx","without Knee Pain — Hinges & Hip Thrusts","common"
"app/blog/glute-power-without-knee-pain/page.tsx","63","jsx","40–45 min","common"
"app/blog/glute-power-without-knee-pain/page.tsx","67","jsx","All Levels","common"
"app/blog/glute-power-without-knee-pain/page.tsx","71","jsx","Gym/Home","common"
"app/blog/glute-power-without-knee-pain/page.tsx","75","jsx","Knee-safe","common"
"app/blog/glute-power-without-knee-pain/page.tsx","93","jsx","Who it&apos;s for","common"
"app/blog/glute-power-without-knee-pain/page.tsx","95","jsx","Wants strong glutes with minimal knee stress","common"
"app/blog/glute-power-without-knee-pain/page.tsx","96","jsx","Gym or home with a bench","common"
"app/blog/glute-power-without-knee-pain/page.tsx","97","jsx","All fitness levels","common"
"app/blog/glute-power-without-knee-pain/page.tsx","98","jsx","Hip hinge movement pattern focus","common"
"app/blog/glute-power-without-knee-pain/page.tsx","103","jsx","Equipment needed","common"
"app/blog/glute-power-without-knee-pain/page.tsx","105","jsx","Bench/sofa edge","common"
"app/blog/glute-power-without-knee-pain/page.tsx","106","jsx","Barbell or dumbbell","common"
"app/blog/glute-power-without-knee-pain/page.tsx","107","jsx","Mini-band","common"
"app/blog/glute-power-without-knee-pain/page.tsx","114","jsx","Session (≈40–45 min)","common"
"app/blog/glute-power-without-knee-pain/page.tsx","119","jsx","Warm-up (6 min)","common"
"app/blog/glute-power-without-knee-pain/page.tsx","120","jsx","Hip airplanes (assisted) ×4/side, Cat–camel ×6, Band external rotations ×12.","common"
"app/blog/glute-power-without-knee-pain/page.tsx","125","jsx","Main (26–28 min)","common"
"app/blog/glute-power-without-knee-pain/page.tsx","129","jsx","Barbell or DB Hip Thrust — 4×8–10, rest 90 s","common"
"app/blog/glute-power-without-knee-pain/page.tsx","130","jsx","Cues: posterior pelvic tilt at top, chin tucked, shins near vertical.","common"
"app/blog/glute-power-without-knee-pain/page.tsx","131","jsx","Alt: Glute bridge on floor.","common"
"app/blog/glute-power-without-knee-pain/page.tsx","135","jsx","Romanian Deadlift (DB/BB) — 4×8–10, rest 90 s","common"
"app/blog/glute-power-without-knee-pain/page.tsx","136","jsx","Cues: long spine, push hips back, feel hamstrings.","common"
"app/blog/glute-power-without-knee-pain/page.tsx","140","jsx","45° Back Extension (controlled) — 3×10–12, rest 75 s","common"
"app/blog/glute-power-without-knee-pain/page.tsx","141","jsx","Alt home: Prone hip extension (pillow under hips).","common"
"app/blog/glute-power-without-knee-pain/page.tsx","145","jsx","Mini-band Abduction (standing or side-lying) — 3×15/side, rest 45 s","common"
"app/blog/glute-power-without-knee-pain/page.tsx","152","jsx","Finisher (4 min)","common"
"app/blog/glute-power-without-knee-pain/page.tsx","153","jsx","EMOM ×4: 20 s glute bridge hold + 40 s rest.","common"
"app/blog/glute-power-without-knee-pain/page.tsx","158","jsx","Cool-down (5 min)","common"
"app/blog/glute-power-without-knee-pain/page.tsx","159","jsx","Piriformis stretch 45 s/side, Hamstring stretch 45 s/side, Box breathing 1 min.","common"
"app/blog/glute-power-without-knee-pain/page.tsx","166","jsx","Progression","common"
"app/blog/glute-power-without-knee-pain/page.tsx","167","jsx","Increase the weight in thrust/RDL by 2–5 kg or add 1 set to back extension.","common"
"app/blog/glute-power-without-knee-pain/page.tsx","177","jsx","← Previous: TRX Posture Reset — Back & Core for desk workers","common"
"app/blog/glute-power-without-knee-pain/page.tsx","183","jsx","Back to Blog","common"
"app/blog/knee-safe-lower-body-1/page.tsx","84","attr","Home workout setup for knee-safe training","common"
"app/blog/knee-safe-lower-body-1/page.tsx","50","jsx","Back to Blog","common"
"app/blog/knee-safe-lower-body-1/page.tsx","55","jsx","Knee-safe","common"
"app/blog/knee-safe-lower-body-1/page.tsx","56","jsx","Lower Body","common"
"app/blog/knee-safe-lower-body-1/page.tsx","56","jsx","Session #1","common"
"app/blog/knee-safe-lower-body-1/page.tsx","63","jsx","40–45 min","common"
"app/blog/knee-safe-lower-body-1/page.tsx","67","jsx","Beginners–Intermediate","common"
"app/blog/knee-safe-lower-body-1/page.tsx","71","jsx","Minimal Equipment","common"
"app/blog/knee-safe-lower-body-1/page.tsx","75","jsx","Knee-sensitive","common"
"app/blog/knee-safe-lower-body-1/page.tsx","93","jsx","Who it&apos;s for","common"
"app/blog/knee-safe-lower-body-1/page.tsx","95","jsx","Beginners–intermediate level","common"
"app/blog/knee-safe-lower-body-1/page.tsx","96","jsx","Training at home","common"
"app/blog/knee-safe-lower-body-1/page.tsx","97","jsx","Minimal equipment","common"
"app/blog/knee-safe-lower-body-1/page.tsx","98","jsx","Knee-sensitive individuals","common"
"app/blog/knee-safe-lower-body-1/page.tsx","103","jsx","Equipment needed","common"
"app/blog/knee-safe-lower-body-1/page.tsx","105","jsx","Chair/box (40–50 cm)","common"
"app/blog/knee-safe-lower-body-1/page.tsx","106","jsx","1–2 dumbbells or kettlebell","common"
"app/blog/knee-safe-lower-body-1/page.tsx","107","jsx","Mini-band","common"
"app/blog/knee-safe-lower-body-1/page.tsx","114","jsx","Session (≈40–45 min)","common"
"app/blog/knee-safe-lower-body-1/page.tsx","119","jsx","Warm-up (6 min)","common"
"app/blog/knee-safe-lower-body-1/page.tsx","120","jsx","Cat–camel × 6, Hip hinge drill × 8, Ankle rocks × 8/side, Glute bridge × 10 (easy)","common"
"app/blog/knee-safe-lower-body-1/page.tsx","125","jsx","Main (24–26 min)","common"
"app/blog/knee-safe-lower-body-1/page.tsx","128","jsx","Box Squat (chair) — 4×8 @ controlled 3-1-2-0, rest 90 s","common"
"app/blog/knee-safe-lower-body-1/page.tsx","129","jsx","Cues: sit back, shins near vertical, light touch, drive up.","common"
"app/blog/knee-safe-lower-body-1/page.tsx","130","jsx","Alt (easier): Sit-to-stand. Alt (harder): Goblet box squat.","common"
"app/blog/knee-safe-lower-body-1/page.tsx","134","jsx","DB RDL — 4×10, rest 90 s","common"
"app/blog/knee-safe-lower-body-1/page.tsx","135","jsx","Cues: ribs down, long spine, push hips back, feel hamstrings.","common"
"app/blog/knee-safe-lower-body-1/page.tsx","136","jsx","Alt: Band hip hinge.","common"
"app/blog/knee-safe-lower-body-1/page.tsx","140","jsx","Step-back Split Squat (short ROM) — 3×8/side, rest 75 s","common"
"app/blog/knee-safe-lower-body-1/page.tsx","141","jsx","Cues: small stance, tap pad/stacked books as depth limiter.","common"
"app/blog/knee-safe-lower-body-1/page.tsx","142","jsx","Alt: Static split squat with hands on support.","common"
"app/blog/knee-safe-lower-body-1/page.tsx","146","jsx","Mini-band Lateral Walk — 3×12/side, rest 45 s","common"
"app/blog/knee-safe-lower-body-1/page.tsx","147","jsx","Cues: soft knees, pelvis level, toes forward.","common"
"app/blog/knee-safe-lower-body-1/page.tsx","154","jsx","Finisher (4 min)","common"
"app/blog/knee-safe-lower-body-1/page.tsx","155","jsx","EMOM ×4: 20 s Marching high knees + 40 s easy walk (low impact).","common"
"app/blog/knee-safe-lower-body-1/page.tsx","160","jsx","Cool-down (4–5 min)","common"
"app/blog/knee-safe-lower-body-1/page.tsx","161","jsx","Couch stretch 1 min/side, Hamstring stretch 45 s/side, Breathing 1 min.","common"
"app/blog/knee-safe-lower-body-1/page.tsx","168","jsx","Progression next time","common"
"app/blog/knee-safe-lower-body-1/page.tsx","169","jsx","+1–2 reps Box Squat and RDL or +2–4 kg in total.","common"
"app/blog/knee-safe-lower-body-1/page.tsx","176","jsx","← Previous: No previous posts","common"
"app/blog/knee-safe-lower-body-1/page.tsx","180","jsx","Back to Blog","common"
"app/blog/page.tsx","70","attr","Home workout setup for knee-safe training","common"
"app/blog/page.tsx","100","attr","Athletes demonstrating perfect form with resistance bands","common"
"app/blog/page.tsx","130","attr","TRX row exercise demonstrating precision and form","common"
"app/blog/page.tsx","160","attr","Powerful glute thrust exercise demonstration","common"
"app/blog/page.tsx","59","jsx","Blog","common"
"app/blog/page.tsx","60","jsx","Latest insights on fitness, AI training, and wellness.","common"
"app/blog/page.tsx","76","jsx","Lower Body","common"
"app/blog/page.tsx","82","jsx","5–7 min read","common"
"app/blog/page.tsx","83","jsx","Knee-safe lower body session #1","common"
"app/blog/page.tsx","84","jsx","Practical tips and alternatives to keep your knees happy while training legs at home or in the gym.","common"
"app/blog/page.tsx","88","jsx","Read","common"
"app/blog/page.tsx","106","jsx","HIIT","common"
"app/blog/page.tsx","112","jsx","4–6 min read","common"
"app/blog/page.tsx","113","jsx","Bands-only HIIT — 30-min low-impact fat burn (Home)","common"
"app/blog/page.tsx","114","jsx","High-intensity interval training using only resistance bands for joint-friendly cardio and strength.","common"
"app/blog/page.tsx","118","jsx","Read","common"
"app/blog/page.tsx","136","jsx","Posture","common"
"app/blog/page.tsx","142","jsx","5–7 min read","common"
"app/blog/page.tsx","143","jsx","TRX Posture Reset — Back & Core for desk workers","common"
"app/blog/page.tsx","144","jsx","Reset your posture and strengthen back/core muscles using TRX suspension training.","common"
"app/blog/page.tsx","148","jsx","Read","common"
"app/blog/page.tsx","166","jsx","Glutes","common"
"app/blog/page.tsx","172","jsx","5–7 min read","common"
"app/blog/page.tsx","173","jsx","Glute Power without Knee Pain — Hinges & Hip Thrusts","common"
"app/blog/page.tsx","174","jsx","Build powerful glutes with minimal knee stress using hip hinges and thrust movements.","common"
"app/blog/page.tsx","178","jsx","Read","common"
"app/blog/trx-posture-reset-back-core/page.tsx","84","attr","TRX row exercise demonstrating precision and form","common"
"app/blog/trx-posture-reset-back-core/page.tsx","50","jsx","Back to Blog","common"
"app/blog/trx-posture-reset-back-core/page.tsx","55","jsx","TRX","common"
"app/blog/trx-posture-reset-back-core/page.tsx","56","jsx","Posture Reset","common"
"app/blog/trx-posture-reset-back-core/page.tsx","56","jsx","— Back & Core for desk workers","common"
"app/blog/trx-posture-reset-back-core/page.tsx","63","jsx","40–45 min","common"
"app/blog/trx-posture-reset-back-core/page.tsx","67","jsx","All Levels","common"
"app/blog/trx-posture-reset-back-core/page.tsx","71","jsx","TRX/Suspension","common"
"app/blog/trx-posture-reset-back-core/page.tsx","75","jsx","Desk Workers","common"
"app/blog/trx-posture-reset-back-core/page.tsx","93","jsx","Who it&apos;s for","common"
"app/blog/trx-posture-reset-back-core/page.tsx","95","jsx","Anyone with rounded-shoulder posture","common"
"app/blog/trx-posture-reset-back-core/page.tsx","96","jsx","Wants back/core without knee stress","common"
"app/blog/trx-posture-reset-back-core/page.tsx","97","jsx","Desk workers and office professionals","common"
"app/blog/trx-posture-reset-back-core/page.tsx","98","jsx","All fitness levels","common"
"app/blog/trx-posture-reset-back-core/page.tsx","103","jsx","Equipment needed","common"
"app/blog/trx-posture-reset-back-core/page.tsx","105","jsx","TRX/suspension straps","common"
"app/blog/trx-posture-reset-back-core/page.tsx","106","jsx","Mat","common"
"app/blog/trx-posture-reset-back-core/page.tsx","107","jsx","Light dumbbell (optional)","common"
"app/blog/trx-posture-reset-back-core/page.tsx","114","jsx","Session (≈40–45 min)","common"
"app/blog/trx-posture-reset-back-core/page.tsx","119","jsx","Warm-up (6 min)","common"
"app/blog/trx-posture-reset-back-core/page.tsx","120","jsx","Thoracic rotations ×6/side, Scapular wall slides ×8, Glute bridges ×10.","common"
"app/blog/trx-posture-reset-back-core/page.tsx","125","jsx","Main (26–28 min)","common"
"app/blog/trx-posture-reset-back-core/page.tsx","129","jsx","TRX Row — 4×10–12, rest 75 s","common"
"app/blog/trx-posture-reset-back-core/page.tsx","130","jsx","Cues: shoulders down-and-back, ribs stacked, squeeze mid-back.","common"
"app/blog/trx-posture-reset-back-core/page.tsx","131","jsx","Alt: Chest-supported row.","common"
"app/blog/trx-posture-reset-back-core/page.tsx","135","jsx","TRX Y-Raise — 3×10, rest 60 s","common"
"app/blog/trx-posture-reset-back-core/page.tsx","136","jsx","Cues: long arms, avoid shrug, thumbs up.","common"
"app/blog/trx-posture-reset-back-core/page.tsx","140","jsx","Pallof Press (cable/band) — 3×12/side, rest 45 s","common"
"app/blog/trx-posture-reset-back-core/page.tsx","141","jsx","Cues: anti-rotation, hips level.","common"
"app/blog/trx-posture-reset-back-core/page.tsx","145","jsx","TRX Hamstring Curl — 3×8–12, rest 75 s","common"
"app/blog/trx-posture-reset-back-core/page.tsx","146","jsx","Cues: heels heavy in straps, posterior tilt, slow eccentrics.","common"
"app/blog/trx-posture-reset-back-core/page.tsx","153","jsx","Finisher (4 min)","common"
"app/blog/trx-posture-reset-back-core/page.tsx","154","jsx","20 s high-arm march + 40 s easy breathing ×4.","common"
"app/blog/trx-posture-reset-back-core/page.tsx","159","jsx","Cool-down (5 min)","common"
"app/blog/trx-posture-reset-back-core/page.tsx","160","jsx","Pec doorway stretch 45 s/side, Long spine decompression 60 s, Nasal breathing 1 min.","common"
"app/blog/trx-posture-reset-back-core/page.tsx","167","jsx","Progression","common"
"app/blog/trx-posture-reset-back-core/page.tsx","168","jsx","Reduce the angle of your body during TRX exercises (more difficult) or add 1 set.","common"
"app/blog/trx-posture-reset-back-core/page.tsx","178","jsx","← Previous: Bands-only HIIT — 30-min low-impact fat burn (Home)","common"
"app/blog/trx-posture-reset-back-core/page.tsx","184","jsx","Back to Blog","common"
"app/checkout/page.tsx","376","attr","Card number","common"
"app/checkout/page.tsx","393","attr","MM/YY","common"
"app/checkout/page.tsx","408","attr","CVV","common"
"app/checkout/page.tsx","425","attr","Cardholder name","common"
"app/checkout/page.tsx","441","attr","Billing address","common"
"app/checkout/page.tsx","458","attr","City","common"
"app/checkout/page.tsx","473","attr","Postal code","common"
"app/checkout/page.tsx","48","jsx","(null); const [success] = useState(false); const [loading, setLoading] = useState(false); const [formData, setFormData] = useState","common"
"app/checkout/page.tsx","280","jsx","Secure Payment","common"
"app/checkout/page.tsx","295","jsx","Payment successful!","common"
"app/checkout/page.tsx","298","jsx","Your tokens have been added to your account balance. You can now use them to generate courses and access premium features.","common"
"app/checkout/page.tsx","301","jsx","Redirecting to dashboard...","common"
"app/checkout/page.tsx","304","jsx",") : ( // Payment Form + Summary","common"
"app/checkout/page.tsx","310","jsx","Order Summary","common"
"app/checkout/page.tsx","338","jsx","Subtotal","common"
"app/checkout/page.tsx","347","jsx","Total","common"
"app/checkout/page.tsx","355","jsx","You are purchasing","common"
"app/checkout/page.tsx","356","jsx",". Tokens will be credited to your account immediately after payment.","common"
"app/checkout/page.tsx","370","jsx","Payment Details","common"
"app/coaches/page.tsx","203","attr","Search coaches or specialties","common"
